Fecha,Transacción_Detalle,Documento,Lugar,Débitos,Créditos,Saldo
2024 DIC 29,"COMPRA EN CANAL ELECTRONI",A4578547,ASCREDIBANCO,44600.00,0.00,7870863.14
2024 DIC 29,"COMPRA EN CANAL ELECTRONI",80YJ6302,ASCREDIBANCO,14700.00,0.00,7856163.14
2024 DIC 29,"COMPRA INTERNET - 130501735503526526 Recarga Nequi PSE",60883135,INTERNET,300000.00,0.00,7556163.14
2024 DIC 29,"COMPRA EN CANAL ELECTRONI",Y4934932,REDEBAN,32645.00,0.00,7523518.14
2024 DIC 29,"COMPRA EN CANAL ELECTRONI",Z9834292,REDEBAN,11800.00,0.00,7511718.14
2024 DIC 29,"COMPRA EN CANAL ELECTRONI",Z9834293,REDEBAN,28000.00,0.00,7483718.14
2024 DIC 29,"COMPRA EN CANAL ELECTRONI",A4570674,ASCREDIBANCO,27600.00,0.00,7456118.14
2024 DIC 31,"COMPRA EN CANAL ELECTRONI",58507451,REDEBAN,244500.00,0.00,7211618.14
2024 DIC 31,"COMPRA EN CANAL ELECTRONI",BYBJ0501,ASCREDIBANCO,66850.00,0.00,7144768.14
2024 DIC 31,"COMPRA EN CANAL ELECTRONI",Q8080869,REDEBAN,91163.00,0.00,7053605.14
2024 DIC 31,"COMPRA EN CANAL ELECTRONI",Z2332283,REDEBAN,87300.00,0.00,6966305.14
2024 DIC 31,"ABONO DE INTERESES",12345678,"CALLE 53",0.00,39.70,6966344.84
2025 ENE 01,"COMPRA EN CANAL ELECTRONI",Z4552551,ASCREDIBANCO,27000.00,0.00,6939344.84
2025 ENE 02,"COMPRA EN CANAL ELECTRONI",E1109946,ASCREDIBANCO,19900.00,0.00,6919444.84
2025 ENE 02,"COMPRA EN CANAL ELECTRONI",71621929,REDEBAN,44900.00,0.00,6874544.84
2025 ENE 02,"COMPRA EN CANAL ELECTRONI",Z0564622,ASCREDIBANCO,22000.00,0.00,6852544.84
2025 ENE 03,"DB PAGO PRESTAMO",00134200,INTERNET,1661210.00,0.00,5191334.84
2025 ENE 03,"DB TRANSFEREN OTRA CUENTA",44127449,INTERNET,500000.00,0.00,4691334.84
2025 ENE 03,"COMPRA EN CANAL ELECTRONI",Z9727405,REDEBAN,11100.00,0.00,4680234.84
2025 ENE 03,"RETIRO RED PROPIA",25233656,"CC FONTANAR",200000.00,0.00,4480234.84
2025 ENE 03,"COMPRA EN CANAL ELECTRONI",Z5595043,REDEBAN,42223.00,0.00,4438011.84
2025 ENE 04,"COMPRA EN CANAL ELECTRONI",Z4331376,REDEBAN,184605.00,0.00,4253406.84
2025 ENE 05,"COMPRA EN CANAL ELECTRONI",Z5595454,REDEBAN,58440.00,0.00,4194966.84
2025 ENE 06,"RETIRO RED PROPIA",20476320,"ZIPAQUIRA III",100000.00,0.00,4094966.84
2025 ENE 06,"COMPRA EN CANAL ELECTRONI",11944145,REDEBAN,109900.00,0.00,3985066.84
2025 ENE 06,"COMPRA EN CANAL ELECTRONI",Z4721676,ASCREDIBANCO,72500.00,0.00,3912566.84
2025 ENE 06,"COMPRA EN CANAL ELECTRONI",BQJX5082,ASCREDIBANCO,10400.00,0.00,3902166.84
2025 ENE 07,"COMPRA EN CANAL ELECTRONI",A4579655,ASCREDIBANCO,42500.00,0.00,3859666.84
2025 ENE 09,"COMPRA EN CANAL ELECTRONI",A4577116,ASCREDIBANCO,32000.00,0.00,3827666.84
2025 ENE 09,"COMPRA EN CANAL ELECTRONI",Z5873578,REDEBAN,98050.00,0.00,3729616.84
2025 ENE 09,"COMPRA EN CANAL ELECTRONI",05540246,ASCREDIBANCO,114100.00,0.00,3615516.84
2025 ENE 09,"COMPRA EN CANAL ELECTRONI",87246607,REDEBAN,83970.00,0.00,3531546.84
2025 ENE 11,"COMPRA INTERNET - 134861736616098900 Recarga Nequi PSE",87889030,INTERNET,200000.00,0.00,3331546.84
2025 ENE 12,"COMPRA EN CANAL ELECTRONI",Z4340757,REDEBAN,40000.00,0.00,3291546.84
2025 ENE 12,"COMPRA EN CANAL ELECTRONI",A4576796,ASCREDIBANCO,37800.00,0.00,3253746.84
2025 ENE 13,"COMPRA EN CANAL ELECTRONI",T1826327,REDEBAN,32000.00,0.00,3221746.84
2025 ENE 14,"COMPRA EN CANAL ELECTRONI",A4962842,REDEBAN,169020.00,0.00,3052726.84
2025 ENE 14,"COMPRA EN CANAL ELECTRONI",Z5596976,REDEBAN,28870.00,0.00,3023856.84
2025 ENE 14,"COMPRA INTERNET - 7140441844 PAGO CONJUNTO RESIDENCIAL FIRENZE PH",93024310,INTERNET,319700.00,0.00,2704156.84
2025 ENE 14,"COMPRA INTERNET - 134301736890900626 Recarga Nequi PSE",93910090,INTERNET,600000.00,0.00,2104156.84
2025 ENE 15,"COMPRA EN CANAL ELECTRONI",Z9835548,REDEBAN,8100.00,0.00,2096056.84
2025 ENE 15,"DEBITO POR RECAUDO DOMICILIACIONES - CLARO HOGAR 70141243",,,61900.00,0.00,2034156.84
2025 ENE 16,"RETIRO RED PROPIA",10475164,"ZIPAQUIRA II",1300000.00,0.00,734156.84
2025 ENE 16,"COMPRA EN CANAL ELECTRONI",Z9835695,REDEBAN,21400.00,0.00,712756.84
2025 ENE 16,"COMPRA EN CANAL ELECTRONI",A3980719,REDEBAN,11600.00,0.00,701156.84
2025 ENE 17,"COMPRA EN CANAL ELECTRONI",KHEB0251,ASCREDIBANCO,24000.00,0.00,677156.84
2025 ENE 17,"COMPRA EN CANAL ELECTRONI",98163057,REDEBAN,13840.00,0.00,663316.84
2025 ENE 18,"COMPRA EN CANAL ELECTRONI",P5868435,REDEBAN,122000.00,0.00,541316.84
2025 ENE 18,"COMPRA EN CANAL ELECTRONI",Z7779885,ASCREDIBANCO,60900.00,0.00,480416.84
2025 ENE 19,"COMPRA EN CANAL ELECTRONI",BQJX1742,ASCREDIBANCO,6400.00,0.00,474016.84
2025 ENE 20,"COMPRA EN CANAL ELECTRONI",52611834,ASCREDIBANCO,40000.00,0.00,434016.84
2025 ENE 23,"DEBITO POR RECAUDO - ENEL 78245684 03124400 0701",,INTERNET,39940.00,0.00,394076.84
2025 ENE 23,"DEBITO POR RECAUDO - VANTI GAS NATURAL CU63526031 44486161 0701",,INTERNET,15960.00,0.00,378116.84
2025 ENE 23,"COMPRA INTERNET - 1561189 SIMILPAY - EMPRESAS P BLICAS DE ZIPAQUIR",14084726,INTERNET,37698.00,0.00,340418.84
2025 ENE 23,"DEBITO POR RECAUDO DOMICILIACIONES - VANTI GAS NATURAL CU63526031",,,15960.00,0.00,324458.84
2025 ENE 25,"COMPRA EN CANAL ELECTRONI",BYBJ3272,ASCREDIBANCO,11800.00,0.00,312658.84
2025 ENE 25,"COMPRA EN CANAL ELECTRONI",Q8081231,REDEBAN,26000.00,0.00,286658.84
2025 ENE 25,"COMPRA EN CANAL ELECTRONI",Z2328454,REDEBAN,17250.00,0.00,269408.84
2025 ENE 26,"COMPRA EN CANAL ELECTRONI",Z3748786,ASCREDIBANCO,134500.00,0.00,134908.84
2025 ENE 27,"COMPRA INTERNET - 196001737946884768 Recarga Nequi PSE",21399797,INTERNET,70000.00,0.00,64908.84
2025 ENE 30,"TRANSFERENCIA OTRA ENTIDA - 000009001696089 PAGOS 000000000000000000000000 00000000000000000",13719834,ACH,0.00,7221552.00,7286460.84
2025 ENE 31,"COMPRA INTERNET - 3641512234 Pago de Productos Banco Falabella",31508611,INTERNET,385028.00,0.00,6901432.84
2025 ENE 31,"ABONO DE INTERESES",12345678,CALLE 53,0.00,113.21,6901546.05
2025 FEB 01,"COMPRA INTERNET - 7079834 Dep sito a Daviplata por PSE",35094812,INTERNET,200000.00,0.00,6701546.05
2025 FEB 03,"TRASLADO A OTRA ENTIDAD",59994456,INTERNET,75000.00,0.00,6626546.05
2025 FEB 04,"COMPRA INTERNET - 128231738676760859 Recarga Nequi PSE",42105075,INTERNET,400000.00,0.00,6226546.05
2025 FEB 05,"DB PAGO PRESTAMO",00134200,INTERNET,1667580.00,0.00,4558966.05
2025 FEB 05,"DB TRANSFEREN OTRA CUENTA",03814918,INTERNET,500000.00,0.00,4058966.05
2025 FEB 06,"TRASLADO A OTRA ENTIDAD",81504085,INTERNET,737130.00,0.00,3321836.05
2025 FEB 06,"COMPRA INTERNET - 134741738889003901 Recarga Nequi PSE",49631503,INTERNET,100000.00,0.00,3221836.05
2025 FEB 07,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 78245684",,,73830.00,0.00,3148006.05
2025 FEB 08,"RETIRO RED PROPIA",20472671,"ZIPAQUIRA III",300000.00,0.00,2848006.05
2025 FEB 10,"TRASLADO A OTRA ENTIDAD",65066148,INTERNET,60000.00,0.00,2788006.05
2025 FEB 16,"COMPRA INTERNET - 7161468906 PAGO ACUEDUCTO SERVICIO PUBLI TOCANCIPA",71417649,INTERNET,255590.00,0.00,2532416.05
2025 FEB 17,"TRASLADO A OTRA ENTIDAD",31063137,INTERNET,75000.00,0.00,2457416.05
2025 FEB 17,"COMPRA INTERNET - 190741739814846627 Recarga Nequi PSE",73263486,INTERNET,200000.00,0.00,2257416.05
2025 FEB 17,"DEBITO POR RECAUDO DOMICILIACIONES - CLARO HOGAR 70141243",,,70527.00,0.00,2186889.05
2025 FEB 23,"TRASLADO A OTRA ENTIDAD",17102470,INTERNET,75000.00,0.00,2111889.05
2025 FEB 26,"COMPRA EN CANAL ELECTRONI",G5390319,REDEBAN,2000000.00,0.00,111889.05
2025 FEB 27,"TRANSFERENCIA OTRA ENTIDA - 000009001696089 PAGOS 000000000000000000000000 00000000000000000",19265113,ACH,0.00,6228296.00,6340185.05
2025 FEB 28,"ABONO DE INTERESES",12345678,CALLE 53,0.00,77.09,6340262.14
2025 MAR 02,"TRASLADO A OTRA ENTIDAD",45466998,INTERNET,75000.00,0.00,6265262.14
2025 MAR 03,"COMPRA INTERNET - 7032043797 PAGO",07504568,INTERNET,3179479.00,0.00,3085783.14
2025 MAR 03,"DB TRANSFEREN OTRA CUENTA",17630494,INTERNET,500000.00,0.00,2585783.14
2025 MAR 04,"TRASLADO A OTRA ENTIDAD",97477470,INTERNET,737171.00,0.00,1848612.14
2025 MAR 05,"DB PAGO PRESTAMO",00134200,INTERNET,1679240.00,0.00,169372.14
2025 MAR 08,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 78245684",,,94690.00,0.00,74682.14
2025 MAR 10,"COMPRA EN CANAL ELECTRONI",Z5596132,REDEBAN,31840.00,0.00,42842.14
2025 MAR 25,"TRANSFERENCIA OTRA ENTIDA - 000008999992844 PAGOS 0010125465 10003 GIRO DE",24253425,ACH,0.00,7856261.00,7899103.14
2025 MAR 28,"COMPRA INTERNET - 165641743181827154 Recarga Nequi PSE",67664777,INTERNET,100000.00,0.00,7799103.14
2025 MAR 28,"TRANSFERENCIA OTRA ENTIDA - 000009001696089 PAGOS 000000000000000000000000 00000000000000000",25051661,ACH,0.00,30531392.33,38330495.47
2025 MAR 31,"ABONO DE INTERESES",12345678,CALLE 53,0.00,60.98,38330556.45
2025 ABR 02,"COMPRA INTERNET - 7022825407 PAGO",81551609,INTERNET,3702636.00,0.00,34627920.45
2025 ABR 04,"TRASLADO A OTRA ENTIDAD",87240493,INTERNET,737171.00,0.00,33890749.45
2025 ABR 04,"DB PAGO PRESTAMO",00247329,ZIPAQUIRA,3000000.00,0.00,30890749.45
2025 ABR 09,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 78245684",,,92310.00,0.00,30798439.45
2025 ABR 13,"RETIRO RED PROPIA",10472791,"ZIPAQUIRA II",400000.00,0.00,30398439.45
2025 ABR 14,"COMPRA INTERNET - 131941744665851330 Recarga Nequi PSE",10365317,INTERNET,300000.00,0.00,30098439.45
2025 ABR 15,"DEBITO POR RECAUDO DOMICILIACIONES - CLARO HOGAR 70141243",,,60720.00,0.00,30037719.45
2025 ABR 19,"DB O RETIRO OTRAS REDES",24437048,ASCREDIBANCO,400000.00,0.00,29637719.45
2025 ABR 19,"COM UTILIZACION OTRAS RED",24437048,ASCREDIBANCO,7490.00,0.00,29630229.45
2025 ABR 19,"COMPRA EN CANAL ELECTRONI",1ZPA6381,ASCREDIBANCO,64990.00,0.00,29565239.45
2025 ABR 25,"COMPRA ESTABLECIMIENTO IN",22801822,INTERNET,54300.00,0.00,29510939.45
2025 ABR 26,"COMPRA INTERNET - 114041745717688879 Recarga Nequi PSE",37258221,INTERNET,100000.00,0.00,29410939.45
2025 ABR 30,"ABONO DE INTERESES",12345678,"CALLE 53",0.00,562.74,29411502.19
2025 MAY 04,"RETIRO RED PROPIA",31715628,"CENTRO CHIA",200000.00,0.00,29211502.19
2025 MAY 05,"DB REPOSICION TARJETA DB",,"LA FELICIDAD",14130.00,0.00,29197372.19
2025 MAY 06,"RETIRO EFECT. CTA O CERT.",,"ZIPAQUIRA",10000000.00,0.00,19197372.19
2025 MAY 06,"COMPRA INTERNET - 7063775558 PAGO BANCO POPULAR - TARJETA DE CR DITO VI",62410662,INTERNET,1000000.00,0.00,18197372.19
2025 MAY 06,"TRASLADO A OTRA ENTIDAD",23779877,INTERNET,737171.00,0.00,17460201.19
2025 MAY 08,"COMPRA INTERNET - 175521746715942312 Recarga Nequi PSE",67062018,INTERNET,250000.00,0.00,17210201.19
2025 MAY 08,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 78245684",,,89090.00,0.00,17121111.19
2025 MAY 09,"UTILIZAC. TAR. DEB EN POS",,"TARJETA DEBITO",0.00,54300.00,17175411.19
2025 MAY 12,"COMPRA INTERNET - 131431083 Matricula Profesional",76649723,INTERNET,568000.00,0.00,16607411.19
